,state_name,state_initial,state_num,year,poverty_rate,unemploy_rate,justice_rate,violent_rate,property_rate,welfare_povcap,welfare_percap
141,Tennessee,TN,43,2012,17.9,5.8,1.930493528097283,0.6437969735499384,3.3725974597057466,9.289777084022209,1.6628700980399753
142,Texas,TX,44,2012,17.9,5.1,2.575231864877818,0.4081967358292465,3.358544875782654,6.706589662049445,1.2004795495068505
143,Utah,UT,45,2012,12.8,4.7,0.941092499233364,0.20593157226091907,2.9937880580014893,8.386581679589959,1.0734824549875148
144,Vermont,VT,46,2012,11.8,4.3,1.359548946637065,0.14263125109808494,2.398377230110687,20.068092771630003,2.3680349470523407
145,Virginia,VA,47,2012,11.7,4.5,1.5112508307799069,0.1901508598572036,2.1622879678634783,9.631604454868247,1.126897721219585
146,Washington,WA,48,2012,13.5,5.6,1.80277077414747,0.29557530181709357,3.658559925115897,8.784007240102577,1.185840977413848
147,West Virginia,WV,49,2012,17.8,4.3,1.1826609480890444,0.316069174396512,2.3630061738235053,9.965608588293538,1.7738783287162496
148,Wisconsin,WI,50,2012,13.2,4.9,1.576246118853978,0.28084112476311024,2.4565381576094936,10.68670193074035,1.4106446548577263
149,Wyoming,WY,51,2012,12.6,3.8,1.6879243976713718,0.20145582634195436,2.294271262612679,10.529945632018318,1.3267731496343083
150,Alabama,AL,1,2013,18.7,5.6,2.2743659329936703,0.41841948406248264,0.285440347687751,8.616269183656819,1.6112423373438252
151,Alaska,AK,2,2013,9.3,6.0,1.7702572896937596,0.6010300270802694,0.4243841816494543,30.40235385410523,2.8274189084317864
152,Arizona,AZ,3,2013,18.6,5.3,1.9559336349069558,0.40544183390212585,0.2636909740795843,6.885746614543274,1.2807488703050494
153,Arkansas,AR,4,2013,19.7,4.7,2.407450587957018,0.44573224302223424,0.3305061836858823,8.73758537280674,1.7213043184429275
154,California,CA,5,2013,16.8,6.3,1.373545308150614,0.39695733388861026,0.23268993395248247,12.448155346049083,2.0912900981362457
155,Colorado,CO,6,2013,13.0,4.7,2.310908673030261,0.2911728618238444,0.18908585727747113,8.526283202784686,1.1084168163620094
156,Connecticut,CT,7,2013,10.7,6.2,1.74711482371543,0.2546148772643908,0.13544409891842224,18.36690490726525,1.9652588250773817
157,Delaware,DE,8,2013,12.4,5.5,2.5516037662303916,0.4801987058996769,0.3144299981809835,16.9112827084178,2.096999055843807
158,Florida,FL,10,2013,17.0,5.7,2.0882868955660197,0.4601951506171127,0.312366642124085,6.779949510399887,1.152591416767981
159,Georgia,GA,11,2013,19.0,6.4,6.2452800111185995,0.3604219171582111,0.20972719020014982,5.836814549954509,1.1089947644913567
160,Hawaii,HI,12,2013,10.8,3.7,1.9803400407458087,0.24456006527282578,0.14173690194092922,13.9016872114427,1.5013822188358117
161,Idaho,ID,13,2013,15.6,4.5,2.887246565616066,0.20481552327883584,0.16112154497935086,8.783952151528986,1.3702965356385217
162,Illinois,IL,14,2013,14.7,6.3,1.5685824500088368,0.37213276423989244,0.20382114828009865,11.386822963958574,1.6738629757019103
163,Indiana,IN,15,2013,15.9,5.0,2.8246043798838527,0.3500076803477333,0.21133515804389688,10.376091334441899,1.6497985221762619
164,Iowa,IA,16,2013,12.7,3.3,1.7591725759837467,0.26065334043324323,0.20442955489449233,12.3858260562961,1.5729999091496047
165,Kansas,KS,17,2013,14.0,3.9,1.2759855482418847,0.3275943829902544,0.2482016526960347,8.00343306035941,1.1204806284503175
166,Kentucky,KY,18,2013,18.8,5.0,2.2524419711037793,0.19835814758872367,0.09530817255092847,8.49062636399032,1.59623775643018
167,Louisiana,LA,19,2013,19.8,4.8,2.6159877129055578,0.5105170755841625,0.35287933230793117,7.8909626210355555,1.56241059896504
168,Maine,ME,20,2013,14.0,4.4,1.5356830864851063,0.12161062161476315,0.06867423338245449,16.250449249321996,2.2750628949050795
169,Maryland,MD,21,2013,10.1,5.1,1.327576217401845,0.46822758284896576,0.27228580284806086,16.846171285456478,1.7014632998311046
170,Massachusetts,MA,22,2013,11.9,5.2,1.2456609052308731,0.40275184465498787,0.26970282192925554,21.16414740486542,2.5185335411789853
171,Michigan,MI,23,2013,17.0,6.0,2.4928716214409974,0.42909029649255803,0.2743248430228189,8.892566349085184,1.5117362793444813
172,Minnesota,MN,24,2013,11.2,3.8,2.322885000569874,0.2235161529212545,0.1276258760771031,18.128538835324623,2.0303963495563573
173,Mississippi,MS,25,2013,24.0,6.1,2.219725754681533,0.2676404644008738,0.15658924533017746,8.109068591777525,1.9461764620266062
174,Missouri,MO,26,2013,15.9,4.7,1.695266725875993,0.4222844481158274,0.298888459395949,8.517036049769546,1.354208731913358
175,Montana,MT,27,2013,16.5,4.1,1.372269692541899,0.24112813237184644,0.19051490327742857,7.970018455935053,1.315053045229284
176,Nebraska,NE,28,2013,13.2,3.2,2.190409868979386,0.2526163646296345,0.16078023716559292,9.854391430954507,1.3007796688859952
177,Nevada,NV,29,2013,15.8,7.0,1.1019009787569751,0.5942427331707475,0.36239584721736906,4.2983082250688245,0.6791326995608742
178,New Hampshire,NH,30,2013,8.7,4.1,0.8702291006782641,0.19915243377540853,0.11246609810481056,14.807871628739814,1.2882848317003637
179,New Jersey,NJ,31,2013,11.4,6.0,1.6367808704825983,0.2869490837274861,0.13628811291262974,13.407872252820377,1.5284974368215232
180,New Mexico,NM,32,2013,21.9,5.4,1.8247412455257992,0.5947120667331652,0.44841184682878377,8.571999672279686,1.8772679282292513
181,New York,NY,33,2013,16.0,5.5,0.9745677180100923,0.39030908743568676,0.2350639485535567,18.38813311529237,2.9421012984467794
182,North Carolina,NC,34,2013,17.9,6.0,1.4610643180320169,0.3367963869159805,0.21855395365961297,8.124958117596531,1.4543675030497791
183,North Dakota,ND,35,2013,11.8,1.8,4.175467303569351,0.25677390047033666,0.20026702269692925,11.73190247051863,1.3843644915211983
184,Ohio,OH,36,2013,16.0,5.1,2.821963583008744,0.27558841547372287,0.12315270935960591,10.921581689540805,1.7474530703265287
185,Oklahoma,OK,37,2013,16.8,3.8,1.6899271335565582,0.4277987155657589,0.30060619524376275,9.940280960752442,1.6699672014064104
186,Oregon,OR,38,2013,16.7,5.7,1.7408704188281456,0.24336718616952388,0.1430221992888151,9.512450181142523,1.5885791802508014
187,Pennsylvania,PA,39,2013,13.7,5.2,2.415450913875048,0.326487094199115,0.18564829638982588,13.129114240893534,1.7986886510024138
188,Rhode Island,RI,40,2013,14.3,6.0,2.5380989706003616,0.24377275299242426,0.14690815207552785,15.34930042788681,2.194949961187814
189,South Carolina,SC,41,2013,18.6,5.7,1.503303445785965,0.4958984735772699,0.37442696176386625,6.965490905689764,1.2955813084582963
190,South Dakota,SD,42,2013,14.2,2.8,1.9126392470284315,0.29965001258435076,0.23696569933374176,8.419459051499123,1.1955631853128754
191,Tennessee,TN,43,2013,17.8,5.3,1.9106827221857803,0.5798125752578399,0.4369651111583317,9.30704811134937,1.656654563820188
192,Texas,TX,44,2013,17.5,4.5,2.4653683429766153,0.3993011248451961,0.24656852011985075,6.680346143695946,1.1690605751467904
193,Utah,UT,45,2013,12.7,3.7,0.8487522673624052,0.20948081887329,0.13058903107356332,8.680409156210423,1.102411962838724
194,Vermont,VT,46,2013,12.3,3.8,1.338049536098114,0.11497740374634707,0.08719119784097987,21.012276330584964,2.5845099886619503
195,Virginia,VA,47,2013,11.7,4.3,1.4668086830698412,0.18811435714608563,0.10981012010163797,10.206847628856936,1.1942011725762616
196,Washington,WA,48,2013,14.1,5.0,1.9889891778916813,0.2782458606674196,0.16658565462159958,8.375923915780735,1.1810052721250837
197,West Virginia,WV,49,2013,18.5,4.6,1.6399387188402483,0.2897113889856811,0.2267095453187149,10.28303624918139,1.902361706098557
198,Wisconsin,WI,50,2013,13.5,4.3,1.4007224294435494,0.2714078379515663,0.16172908930729815,11.118567902491353,1.5010066668363329
199,Wyoming,WY,51,2013,10.9,3.4,1.5806814722686995,0.19789666083741894,0.1573553310130866,12.383592215875552,1.3498115515304352
200,Alabama,AL,1,2014,19.3,4.9,2.085975867647542,0.4280846850519817,0.28388208597672066,8.479461815935077,1.63653613047547
201,Alaska,AK,2,2014,11.2,5.1,1.9063322119348132,0.6361684298021277,0.44045564001885146,25.5391414908204,2.8603838469718843
202,Arizona,AZ,3,2014,18.2,4.7,1.9816870539742508,0.39991602298402784,0.25213905892550725,7.429442188126388,1.3521584782390026
203,Arkansas,AR,4,2014,18.9,3.9,2.3305762096817677,0.47998377026021505,0.3459266588303804,9.91614163719501,1.8741507694298563
204,California,CA,5,2014,16.4,5.3,1.3591459513974309,0.398241084818778,0.23785026452334138,13.189971413225713,2.1631553117690165
205,Colorado,CO,6,2014,12.0,3.7,2.287139239053618,0.30941471946043636,0.1929870108994204,10.46718713036134,1.2560624556433608
